"省市ID","省市名称","从属节点ID"

"1","北京市",0
"101","东城区",1
"102","西城区",1
"103","崇文区",1
"104","宣武区",1
"105","朝阳区",1
"106","丰台区",1
"107","石景山区",1
"108","海淀区",1
"109","门头沟区",1
"110","房山区",1
"111","通州区",1
"112","顺义区",1
"113","昌平区",1
"114","大兴区",1
"115","怀柔区",1
"116","平谷区",1
"117","密云县",1
"118","延庆县",1

"2","上海市",0
"201","黄浦区",2
"202","卢湾区",2
"203","徐汇区",2
"204","长宁区",2
"205","静安区",2
"206","普陀区",2
"207","闸北区",2
"208","虹口区",2
"209","杨浦区",2
"210","闵行区",2
"211","宝山区",2
"212","嘉定区",2
"213","浦东新区",2
"214","金山区",2
"215","松江区",2
"216","青浦区",2
"217","南汇区",2
"218","奉贤区",2
"219","崇明县",2

"3","天津市",0
"301","和平区",3
"302","河东区",3
"303","河西区",3
"304","南开区",3
"305","河北区",3
"306","红桥区",3
"307","塘沽区",3
"308","汉沽区",3
"309","大港区",3
"310","东丽区",3
"311","西青区",3
"312","津南区",3
"313","北辰区",3
"314","武清区",3
"315","宝坻区",3
"316","宁河县",3
"317","静海县",3
"318","蓟县",3
"319","滨海新区",3

"4","河北省",0
"401","石家庄市",4
"402","唐山市",4
"403","秦皇岛市",4
"404","邯郸市",4
"405","邢台市",4
"406","保定市",4
"407","张家口市",4
"408","承德市",4
"409","沧州市",4
"410","廊坊市",4
"411","衡水市",4

"5","山西省",0
"501","太原市",5
"502","大同市",5
"503","阳泉市",5
"504","长治市",5
"505","晋城市",5
"506","朔州市",5
"507","晋中市",5
"508","运城市",5
"509","忻州市",5
"510","临汾市",5
"511","吕梁市",5

"6","内蒙古自治区",0
"601","呼和浩特市",6
"602","包头市",6
"603","乌海市",6
"604","赤峰市",6
"605","通辽市",6
"606","鄂尔多斯市",6
"607","呼伦贝尔市",6
"608","巴彦淖尔市",6
"609","乌兰察布市",6
"610","兴安盟",6
"611","锡林郭勒盟",6
"612","阿拉善盟",6

"7","辽宁省",0
"701","沈阳市",7
"702","大连市",7
"703","鞍山市",7
"704","抚顺市",7
"705","本溪市",7
"706","丹东市",7
"707","锦州市",7
"708","营口市",7
"709","阜新市",7
"710","辽阳市",7
"711","盘锦市",7
"712","铁岭市",7
"713","朝阳市",7
"714","葫芦岛市",7

"8","吉林省",0
"801","长春市",8
"802","吉林市",8
"803","四平市",8
"804","辽源市",8
"805","通化市",8
"806","白山市",8
"807","松原市",8
"808","白城市",8
"809","延边朝鲜族自治州",8

"9","黑龙江省",0
"901","哈尔滨市",9
"902","齐齐哈尔市",9
"903","鸡西市",9
"904","鹤岗市",9
"905","双鸭山市",9
"906","大庆市",9
"907","伊春市",9
"908","佳木斯市",9
"909","七台河市",9
"910","牡丹江市",9
"911","黑河市",9
"912","绥化市",9
"913","大兴安岭地区",9

"10","江苏省",0
"1001","南京市",10
"1002","无锡市",10
"1003","徐州市",10
"1004","常州市",10
"1005","苏州市",10
"1006","南通市",10
"1007","连云港市",10
"1008","淮安市",10
"1009","盐城市",10
"1010","扬州市",10
"1011","镇江市",10
"1012","泰州市",10
"1013","宿迁市",10

"11","浙江省",0
"1101","杭州市",11
"1102","宁波市",11
"1103","温州市",11
"1104","嘉兴市",11
"1105","湖州市",11
"1106","绍兴市",11
"1107","金华市",11
"1108","衢州市",11
"1109","舟山市",11
"1110","台州市",11
"1111","丽水市",11

"12","安徽省",0
"1201","合肥市",12
"1202","芜湖市",12
"1203","蚌埠市",12
"1204","淮南市",12
"1205","马鞍山市",12
"1206","淮北市",12
"1207","铜陵市",12
"1208","安庆市",12
"1209","黄山市",12
"1210","滁州市",12
"1211","阜阳市",12
"1212","宿州市",12
"1213","巢湖市",12
"1214","六安市",12
"1215","亳州市",12
"1216","池州市",12
"1217","宣城市",12

"13","福建省",0
"1301","福州市",13
"1302","厦门市",13
"1303","莆田市",13
"1304","三明市",13
"1305","泉州市",13
"1306","漳州市",13
"1307","南平市",13
"1308","龙岩市",13
"1309","宁德市",13

"14","江西省",0
"1401","南昌市",14
"1402","景德镇市",14
"1403","萍乡市",14
"1404","九江市",14
"1405","新余市",14
"1406","鹰潭市",14
"1407","赣州市",14
"1408","吉安市",14
"1409","宜春市",14
"1410","抚州市",14
"1411","上饶市",14

"15","山东省",0
"1501","济南市",15
"1502","青岛市",15
"1503","淄博市",15
"1504","枣庄市",15
"1505","东营市",15
"1506","烟台市",15
"1507","潍坊市",15
"1508","济宁市",15
"1509","泰安市",15
"1510","威海市",15
"1511","日照市",15
"1512","莱芜市",15
"1513","临沂市",15
"1514","德州市",15
